source_revision,file,line,pinned_url
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/svp.go,40,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/svp.go#L40
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,kernel/weekly_prompt.go,313,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/kernel/weekly_prompt.go#L313
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,market/data.go,244,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/market/data.go#L244
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,market/data_indicators.go,6,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/market/data_indicators.go#L6
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,market/futures_symbol.go,113,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/market/futures_symbol.go#L113
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,provider/ninjatrader/bar_cache.go,144,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/provider/ninjatrader/bar_cache.go#L144
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,provider/ninjatrader/bar_cache.go,24,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/provider/ninjatrader/bar_cache.go#L24
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,provider/ninjatrader/tcp_server.go,492,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/provider/ninjatrader/tcp_server.go#L492
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/armed_orders.go,247,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/armed_orders.go#L247
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/bar_history.go,22,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/bar_history.go#L22
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/level_state.go,282,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/level_state.go#L282
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/plan.go,249,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/plan.go#L249
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/plan.go,287,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/plan.go#L287
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/plan.go,396,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/plan.go#L396
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/plan.go,59,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/plan.go#L59
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/session_profile.go,59,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/session_profile.go#L59
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/touch_outcomes.go,237,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/touch_outcomes.go#L237
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,store/touch_outcomes.go,281,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/store/touch_outcomes.go#L281
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/armed_executor.go,1905,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/armed_executor.go#L1905
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/armed_executor.go,921,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/armed_executor.go#L921
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_dayplan.go,101,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_dayplan.go#L101
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_dayplan.go,158,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_dayplan.go#L158
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_dayplan.go,172,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_dayplan.go#L172
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_indicator_mirror.go,15,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_indicator_mirror.go#L15
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_loop.go,595,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_loop.go#L595
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,1508,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L1508
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,1660,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L1660
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,1691,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L1691
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,1698,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L1698
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,1938,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L1938
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,2054,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L2054
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,2130,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L2130
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,2146,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L2146
5457ac5accd97c3519bf6d16ead147a0db2ab0d0,trader/auto_trader_planner.go,2185,https://github.com/johnwick2921-cyber/nofx/blob/5457ac5accd97c3519bf6d16ead147a0db2ab0d0/trader/auto_trader_planner.go#L2185
